id,タイトル,写真,問題,1,2,正解,説明
GGGDTLE8MC,「<r=ひゃくいんひゃくし>百印百詩</r>」という<r=ぶんげい>文芸</r>イベント,5.1,「百印百詩」が行われたのは何時代？,江戸時代,明治時代,1,テスト
YSDY4GKTHO,「<r=ひゃくいんひゃくし>百印百詩</r>」という<r=ぶんげい>文芸</r>イベント,5.2,「百印百詩」で100のハンコを作ったのは誰？,頼三樹三郎,松浦武四郎,2,テスト
O9GIA1PP1L,「<r=ひゃくいんひゃくし>百印百詩</r>」という<r=ぶんげい>文芸</r>イベント,5.3,「百印百詩」で100の漢詩を作ったのは誰？,頼三樹三郎,松浦武四郎,1,テスト
YCGKY0JBRB,「<r=ひゃくいんひゃくし>百印百詩</r>」という<r=ぶんげい>文芸</r>イベント,5.4,「百印百詩」第1詩のハンコの文字は？,冬至,清晨,2,テスト
54AIM9UF51,ヒノキアスナロ,6.1,江差ではヒノキアスナロのことを何と呼んでいる？,ヒバ,アオトドマツ,1,テスト
GP9KQMZ4CN,ヒノキアスナロ,6.2,江差町の面積のうち森林は何%？,50%,70%,2,テスト
HX1KIB7N4H,ヒノキアスナロ,6.3,ヒノキアスナロは何mほどまで成長する？,約30m,約100m,1,テスト
AU31D82GIT,ヒノキアスナロ,6.4,ヒノキアスナロが建材に使われているこの建物は？,旧小村家住宅,旧中村家住宅,2,テスト
XCVQGV6DSU,ニシン<r=りょう>漁</r>,7.1,7_1,1,2,1,テスト
H84QXF1DQZ,ニシン<r=りょう>漁</r>,7.2,7_2,1,2,1,テスト
LLNT9OS925,ニシン<r=りょう>漁</r>,7.3,7_3,1,2,2,テスト
09L5ZFUUUH,ニシン<r=りょう>漁</r>,7.4,7_4,1,2,2,テスト
J0RDQ6FPXK,<r=きたまえぶね>北前船</r>の<r=こうえき>交易</r>,8.1,8_1,1,2,2,テスト
EZ0F561UNZ,<r=きたまえぶね>北前船</r>の<r=こうえき>交易</r>,8.2,8_2,1,2,1,テスト
PJA8LWED4P,<r=きたまえぶね>北前船</r>の<r=こうえき>交易</r>,8.3,8_3,1,2,1,テスト
RAR4NIZ9MP,<r=きたまえぶね>北前船</r>の<r=こうえき>交易</r>,8.4,8_4,1,2,1,テスト
ODQZE80MXX,<r=えどじだい>江戸時代</r>からの<r=こめ>米</r>づくり,9.1,9_1,1,2,1,テスト
QL5L2HH68D,<r=えどじだい>江戸時代</r>からの<r=こめ>米</r>づくり,9.2,9_2,1,2,1,テスト
OMDAXX3AWJ,<r=えどじだい>江戸時代</r>からの<r=こめ>米</r>づくり,9.3,9_3,1,2,2,テスト
8QXPL8IKB1,<r=えどじだい>江戸時代</r>からの<r=こめ>米</r>づくり,9.4,9_4,1,2,1,テスト
UZ2M1ZFUNY,<r=さんちょう>山頂</r>の<r=じんじゃ>神社</r>への<r=さんぱい>参拝</r>,10.1,10_1,1,2,2,テスト
LODSG0ITWN,<r=さんちょう>山頂</r>の<r=じんじゃ>神社</r>への<r=さんぱい>参拝</r>,10.2,10_2,1,2,2,テスト
PU02UK8811,<r=さんちょう>山頂</r>の<r=じんじゃ>神社</r>への<r=さんぱい>参拝</r>,10.3,10_3,1,2,1,テスト
990EI7UJ7E,<r=さんちょう>山頂</r>の<r=じんじゃ>神社</r>への<r=さんぱい>参拝</r>,10.4,10_4,1,2,1,テスト
02B7XNY7U9,ヤマを<r=だ>出</r>す<r=まつり>祭</r>,11.1,11_1,1,2,1,テスト
FMR0KNNR5L,ヤマを<r=だ>出</r>す<r=まつり>祭</r>,11.2,11_2,1,2,1,テスト
S429LZ25CI,ヤマを<r=だ>出</r>す<r=まつり>祭</r>,11.3,11_3,1,2,1,テスト
TCO4BUTPXT,ヤマを<r=だ>出</r>す<r=まつり>祭</r>,11.4,11_4,1,2,1,テスト
F402UJFOYM,<r=はこだてせんそう>箱館戦争</r>の<r=ぶんかいさん>文化遺産</r>,12.1,12_1,1,2,1,テスト
6Z5SMLTKT4,<r=はこだてせんそう>箱館戦争</r>の<r=ぶんかいさん>文化遺産</r>,12.2,12_2,1,2,1,テスト
VZ6JREUPZY,<r=はこだてせんそう>箱館戦争</r>の<r=ぶんかいさん>文化遺産</r>,12.3,12_3,1,2,2,テスト
UOZ2PWULJG,<r=はこだてせんそう>箱館戦争</r>の<r=ぶんかいさん>文化遺産</r>,12.4,12_4,1,2,2,テスト
99JT001L87,<r=いえじるし>家印</r>は<r=いえ>家</r>のシンボル,13.1,家印は何のために使われる？,家々を区別するため,2,1,テスト
47KRUUJ2XU,<r=いえじるし>家印</r>は<r=いえ>家</r>のシンボル,13.2,この家印は何と読む？,ボウヤマチョウ,イチヤマチョウ,2,テスト
BKKV2GWF3V,<r=いえじるし>家印</r>は<r=いえ>家</r>のシンボル,13.3,家印が印刷されているこの食べ物は？,羊羹,アイス,1,テスト
V46L90Q0HW,<r=いえじるし>家印</r>は<r=いえ>家</r>のシンボル,13.4,家印が記されているこの服はなんという？,背広,半纏,2,テスト
E5ZH7XW85B,<r=えさし>江差</r>へ<r=わた>渡</r>って<r=き>来</r>た<r=ひとびと>人々</r>,14.1,この人物の名前は？,小山隆政,源義経,1,テスト
MGX935M759,<r=えさし>江差</r>へ<r=わた>渡</r>って<r=き>来</r>た<r=ひとびと>人々</r>,14.2,この人物は何時代に江差へ渡って来たといわれている？,鎌倉時代,室町時代,2,テスト
9IAG6SOJT1,<r=えさし>江差</r>へ<r=わた>渡</r>って<r=き>来</r>た<r=ひとびと>人々</r>,14.3,この人物はどこで生まれた,佐渡島,隠岐の島,1,テスト
1EWFIQG9ES,<r=えさし>江差</r>へ<r=わた>渡</r>って<r=き>来</r>た<r=ひとびと>人々</r>,14.4,この人物の名前は？,関川平四郎,松澤伊八,2,テスト
S2O00XQFLZ,<r=ししまい>獅子舞</r>から<r=ししまい>鹿子舞</r>へ,15.1,鹿子舞は何時代に江差へ伝わった？,江戸時代,明治時代,1,テスト
489GOC2VU5,<r=ししまい>獅子舞</r>から<r=ししまい>鹿子舞</r>へ,15.2,田沢鹿子舞は何匹の鹿子で演じる？,3匹,5匹,2,テスト
MF3CBPHNY3,<r=ししまい>獅子舞</r>から<r=ししまい>鹿子舞</r>へ,15.3,土場鹿子舞は何匹の鹿子で演じる？,3匹,5匹,1,テスト
JS4J4BN3SQ,<r=ししまい>獅子舞</r>から<r=ししまい>鹿子舞</r>へ,15.4,五勝手鹿子舞は何匹の鹿子で演じる？,3匹,5匹,2,テスト
NLD5UJ6ZC3,<r=えさしおいわけ>江差追分</r>の<r=へんか>変化</r>と<r=でんしょう>伝承</r>,16.1,江差追分は何時代から江差で歌われている？,江戸時代,明治時代,1,テスト
6EKOL831IL,<r=えさしおいわけ>江差追分</r>の<r=へんか>変化</r>と<r=でんしょう>伝承</r>,16.2,江差追分全国大会は毎年何月に行われる？,2月,9月,2,テスト
PIILRYZ5LJ,<r=えさしおいわけ>江差追分</r>の<r=へんか>変化</r>と<r=でんしょう>伝承</r>,16.3,この楽譜は何年に作られた？,1974年,2002年,1,テスト
SVYF4HFZVK,<r=えさしおいわけ>江差追分</r>の<r=へんか>変化</r>と<r=でんしょう>伝承</r>,16.4,江差追分全国大会はいつから行われている？,1854年,1963年,2,テスト
FW45TP2YBK,<r=た>食</r>べられないパン,1.1,フライパンは食べられるか?,〇,×,2,フライパンは食べられない
WY0LP26DJF,<r=た>食</r>べられないパン,1.2,フランスパンは食べられるか?,〇,×,1,フランスパンは食べられる
MH3X5Z1FKD,<r=けいさん>計算</r>,2.1,1+1=?,1,2,2,1+1は2だ
C9KPSG29GZ,<r=けいさん>計算</r>,2.2,3-1=?,1,2,2,3-1は2だ
VQ5CUF1GQC,<r=こくご>国語</r>,3.1,役不足の意味は?,役目が重すぎる,役目が軽すぎる,2,正解は「役目が軽すぎる」。誤用に注意
3Y09CZHZFY,<r=こくご>国語</r>,3.2,坊っちゃんは誰の作品?,夏目漱石,芥川龍之介,1,夏目漱石の作品である
W3XO4XGA13,<r=りか>理科</r>,4.1,火成岩はどっち?,流紋岩,安山岩,2,正解は安山岩。流紋岩は深成岩
77OQRZ1QOF,<r=りか>理科</r>,4.2,二酸化マンガンと過酸化水素水を混ぜると何が発生する?,酸素,二酸化炭素,1,酸素が発生する
6WGB3ZH1KK,<r=れきし>歴史</r>,5.1,新石器時代に主に使われていた石器は?,磨製石器,打製石器,1,正解は磨製石器。打製石器は旧石器時代に使われた
TXELY106OX,<r=れきし>歴史</r>,5.2,鎌倉幕府が誕生したのは?,1192年,1185年,2,答えは1185年。「良い箱(1185)作ろう鎌倉幕府」で覚えよう。
QAM97RUQCD,<r=おんがく>音楽</r>,6.1,正しい歌詞は?「カラス　なぜ鳴くの?」,カラスは山に,カラスの勝手でしょ,1,「カラスの勝手でしょ」は志村けんの替え歌
2LPRW6QRFZ,<r=ちり>地理</r>,7.1,最も面積が広い都道府県は?,北海道,岐阜,1,一番広いのは北海道である
WB7GN43SPR,<r=ちり>地理</r>,7.2,北海道は元々いくつの県に分かれていた?,2つ,3つ,2,答えは3つ。函館県、札幌県、根室県に分かれていた
VHTGQXN6XQ,<r=ちり>地理</r>,7.3,落花生の生産量第一位の都道府県は?,千葉県,埼玉県,1,答えは千葉県である
0YU914BSBG,<r=こうみん>公民</r>,8.1,国民の三大義務はどっち?,納税の義務,教育を受ける義務,1,答えは「納税の義務」。教育は受けるのではなく受けさせるのが義務
6MZX9CGJRD,<r=こうみん>公民</r>,8.2,裁判所は何権を持っている?,司法権,立法権,1,答えは司法権。立法権は国会が所有している
KL15AH824T,<r=こぶん>古文</r>,9.1,春は?,あけぼの,夜,1,春はあけぼの
HH3WOTFMC3,<r=こぶん>古文</r>,9.2,夏は?,夜,夕暮れ,1,夏は夜
KAO96XDC5E,<r=こぶん>古文</r>,9.3,秋は?,夕暮れ,夜,1,秋は夕暮れ
APBVV0S3UZ,<r=こぶん>古文</r>,9.4,冬は?,夕暮れ,つとめて,2,冬はつとめて
9JZ6BUBBUY,<r=かていか>家庭科</r>,10.1,調味料「さしすせそ」の「せ」は何?,背脂,醤油,2,答えは醤油である
OMX2JA4C5D,<r=かていか>家庭科</r>,10.2,三大栄養素はどっち,脂質,ビタミン,1,答えは脂質。ビタミンは五大栄養素である
8MKVRA56KD,<r=どうぶつ>動物</r>,11.1,馬は偶蹄目か奇蹄目か?,偶蹄目,奇蹄目,2,こたえは奇蹄目。奇蹄目の動物は蹄からの病気の感染リスクが低いので生食ができる
2TOU3G1VMN,<r=どうぶつ>動物</r>,11.1,鹿は偶蹄目か奇蹄目か?,偶蹄目,奇蹄目,1,こたえは偶蹄目。
